Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2024-03-05,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-13,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-23,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-16,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-09,100.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-02,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-19,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-12,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-12-05,63.19,36.81,0.00,0.00,0.00,0.00,37
2023-11-28,63.19,36.81,0.00,0.00,0.00,0.00,37
2023-11-21,63.19,36.81,0.00,0.00,0.00,0.00,37
2023-11-14,63.19,36.81,0.00,0.00,0.00,0.00,37
2023-11-07,63.19,36.81,0.00,0.00,0.00,0.00,37
2023-10-31,63.07,36.93,0.00,0.00,0.00,0.00,37
2023-10-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-10-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-26,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-09-19,17.23,82.77,0.00,0.00,0.00,0.00,83
2023-09-12,30.29,69.71,0.00,0.00,0.00,0.00,70
2023-09-05,13.14,86.86,0.00,0.00,0.00,0.00,87
2023-08-29,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-22,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-15,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-08,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-08-01,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-25,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-18,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-11,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-07-04,69.87,30.13,0.00,0.00,0.00,0.00,30
2023-06-27,65.87,34.13,0.00,0.00,0.00,0.00,34
2023-06-20,0.30,99.70,32.12,0.00,0.00,0.00,132
2023-06-13,65.22,34.78,0.00,0.00,0.00,0.00,35
2023-06-06,97.60,2.40,0.00,0.00,0.00,0.00,2
2023-05-30,97.22,2.78,0.00,0.00,0.00,0.00,3
2023-05-23,96.26,3.74,0.00,0.00,0.00,0.00,4
2023-05-16,96.26,3.74,0.00,0.00,0.00,0.00,4
2023-05-09,96.26,3.74,0.00,0.00,0.00,0.00,4
2023-05-02,96.26,3.74,0.00,0.00,0.00,0.00,4
2023-04-25,0.00,100.00,17.58,0.00,0.00,0.00,118
2023-04-18,0.00,100.00,17.58,0.00,0.00,0.00,118
2023-04-11,0.00,100.00,17.58,0.00,0.00,0.00,118
2023-04-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-28,0.00,100.00,0.00,0.00,0.00,0.00,100
2023-03-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-03-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-28,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-21,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-14,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-02-07,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-31,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-24,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-17,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-10,100.00,0.00,0.00,0.00,0.00,0.00,0
2023-01-03,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-27,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-20,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-12-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-12-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-29,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-22,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-15,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-08,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-11-01,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-25,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-18,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-11,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-10-04,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-27,0.00,100.00,79.50,0.00,0.00,0.00,180
2022-09-20,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-13,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-09-06,0.00,100.00,0.00,0.00,0.00,0.00,100
2022-08-30,100.00,0.00,0.00,0.00,0.00,0.00,0
2022-08-23,100.00,0.00,0.00,0.00,0.00,0.00,0
